heart_rate;oxygen_saturation;perfusion_index;motion_activity;activity_classification;heart_rate_variability;respiration_rate;energy;core_temperature;temperature_local;barometer_pressure;gsr_electrode;health_score;relax_stress_intensity_score;sleep_quality_index_score;training_effect_score;activity_score;richness_score;heart_rate_quality;oxygen_saturation_quality;blood_pulse_wave;number_of_steps;activity_classification_quality;energy_quality;heart_rate_variability_quality;respiration_rate_quality;core_temperature_quality;temperature_object;temperature_barometer;timestamp
0;60;0.0;0.7843137383000001;9;0;0;22.1832637787;21.0;26.8400001526;990.700012207;21;3.1372549534;0;0;40.0;0;0;0;0;0.0;0;2;100;0;0;0;25.9099998474;25.3799991608;2020-05-18 05:51:18+00:00
0;60;0.0;0.7843137383000001;9;0;0;22.1832637787;21.0;26.8799991608;990.799987793;21;3.1372549534;0;0;0.0;0;0;0;0;0.0;0;3;100;0;0;0;25.9399986267;25.5599994659;2020-05-18 05:51:19+00:00
0;60;0.0;0.7843137383000001;9;0;0;22.1832637787;21.0;26.9399986267;991.0;21;3.1372549534;0;0;0.0;0;0;0;0;0.0;0;5;100;0;0;0;25.9699993134;25.6299991608;2020-05-18 05:51:20+00:00
0;60;0.0;3.1372549534;9;0;0;22.1832637787;21.0;27.0;991.1000366211;21;3.1372549534;0;0;0.0;0;0;0;0;0.0;0;7;100;0;0;0;26.0;25.75;2020-05-18 05:51:21+00:00
81;60;0.3400000036;1.1764706373;9;0;0;28.3779754639;37.0999984741;28.25;991.299987793;21;3.1372549534;0;0;0.0;0;0;85;0;3.0999999046;0;27;100;0;0;90;27.7199993134;27.0;2020-05-18 05:51:44+00:00
81;60;0.3400000036;1.1764706373;9;0;0;28.7920780182;37.0999984741;28.2799987793;991.4000244141;21;3.1372549534;0;0;0.0;0;0;84;0;3.0999999046;0;26;100;0;0;90;27.7199993134;27.1299991608;2020-05-18 05:51:45+00:00
81;60;0.3400000036;1.5686274767000001;9;0;0;28.7920780182;37.0999984741;28.3099994659;991.1000366211;21;3.1372549534;0;0;0.0;0;0;83;0;3.0599999428;0;26;100;0;0;90;27.7799987793;27.0;2020-05-18 05:51:46+00:00
80;60;0.3400000036;1.5686274767000001;9;0;19;29.2122135162;37.0999984741;28.3400001526;991.0;21;3.1372549534;0;0;0.0;0;0;79;0;3.0399999619;0;26;100;0;96;90;27.7799987793;27.0599994659;2020-05-18 05:51:47+00:00
79;60;0.3400000036;1.1764706373;9;0;20;29.2122135162;37.0999984741;28.4099998474;990.9000244141;21;3.1372549534;0;0;0.0;0;0;77;0;2.9800000191000002;0;25;100;0;96;90;27.9699993134;27.0599994659;2020-05-18 05:51:48+00:00
